"共有model数","item_name 中文","model_name 中文","目标价","model_image_susercontent","product_link","L2 中文","L3 中文","邀请码","model_id","final_1688_link","price judge","展示日期","item_id","item下最高价","特殊tag","日均销售额","日均单量","asp_tag_by_l1"
"1","TNE 25 电动摩托车和便携式扬声器的备件。","TNE 25 电动摩托车和便携式扬声器的备件。","83.25","https://cf.shopee.vn/file/vn-11134207-81ztc-mnjcgvzxrz7nbe","http://shopee.vn/product/1783058303/52109524938","摩托车零配件","其他的","IVCN2026051918005","'380842672798","缺少","P1","'12-30","'52109524938","83.25","","20-40美金","20-40单","高价品"
"1","SCOOPY i/ZOOMER-X 2012-2014 皮带驱动组件,代码 KZL,年份 2012-2016,包括皮带驱动皮带轮、变速器皮带轮和皮带。","后部 + 前部 + 安全带","83.11","https://cf.shopee.co.th/file/th-11134207-7r98t-m05dzfcgn9oa61","http://shopee.co.th/product/846822418/27661274894","摩托车零配件","其他的","IVCN2026051911943","'176681118223","缺少","P1","'12-30","'27661274894","83.11","","20-40美金","20-40单","高价品"
"1","✅R15 V2 V3-4 MT15 曲轴箱盖磁电机/TFX 150 离合器原装 BK6-E5421 BK6-E5411 2PK-E5411 2PK","BK6E5411 V3-4MTXSMAG","83.1","https://cf.shopee.ph/file/ph-11134207-7qul8-lh1l0d054ana3e","http://shopee.ph/product/203733539/23642993780","摩托车零配件","车身及车架","IVCN2026051910773","'127587167729","缺少","P1","'12-30","'23642993780","83.1","","20-40美金","20-40单","高价品"
"1","Wave 110i + 125i 后轮合金轮毂,哑光黑,5 辐,1-60-17。","Wave 110i + 125i 后轮合金轮毂,哑光黑,5 辐,1-60-17。","83.05","https://cf.shopee.co.th/file/118c1c6410bcf3b7922119b4cf56450e","http://shopee.co.th/product/219775942/20346640956","摩托车零配件","车轮、轮辋及配件","IVCN2026051912727","'202355425830","缺少","P1","'12-30","'20346640956","83.05","","20-40美金","20-40单","高价品"
"1","Wave 110i 前轮轮辋,白色,1.40-17。","Wave 110i 前轮轮辋,白色,1.40-17。","83.04","https://cf.shopee.co.th/file/th-11134207-7quky-lia0hef9hpm0a8","http://shopee.co.th/product/219775942/21590058032","摩托车零配件","车轮、轮辋及配件","IVCN2026051911985","'177717625876","缺少","P1","'12-30","'21590058032","83.04","","100-300美金","20-40单","高价品"
"239","适用于 Wave 110i 车型的半消音/半开放式排气管：2008-2013（直通头段）/ Wave 110i 2014-2020 / Wave 110i 2021-2026。仅含头段。经泰国工业标准协会 (TIS) 认证。","Wave 110i 2021-2026","82.98","https://cf.shopee.co.th/file/th-11134207-81zto-ml742iflam84ab","http://shopee.co.th/product/87610194/6235718351","摩托车零配件","尾气和排放","#N/A","'53881201056","缺少","P1","'12-30","'6235718351","82.98","","20-40美金","20-40单","高价品"
"2","雅马哈 Y15ZR V1 PNP V2 / V2 PNP V1 把手线束套件 v1 至 v2 线把手套件 2ND-H2530-00","V2 至 V1","82.95","https://cf.shopee.com.my/file/my-11134207-820l5-mmbf3o63s4cjee","http://shopee.com.my/product/1507684359/27435358950","摩托车零配件","电缆和管材","IVCN2026041056325","'310692658726","缺少","P1","'12-30","'27435358950","82.95","","20-40美金","20-40单","高价品"
"1","TRC RACING CNC 通用型刹车杆护罩 8183","银","82.93","https://cf.shopee.ph/file/ph-11134207-81zti-mh7iab7ngphpec","http://shopee.ph/product/867675817/53051641494","摩托车零配件","车身及车架","IVCN202603179593","'395149415687","缺少","P1","'12-30","'53051641494","82.93","","20-40美金","20-40单","高价品"
"2","Ashuka SKF C3 发动机轴承套装 Y15/125Z/RXZ/ZXR/Y110/Dynamic/EX5 HP/Dream/LC4S/5S/WAVE125 110/RFS150/RS150/GBO/SRL/Y16","WAVE125","81.44","https://cf.shopee.com.my/file/my-11134207-7qul2-lk6lkvkheucac2","http://shopee.com.my/product/375068094/11961213614","摩托车零配件","传动系统、变速器和离合器","IVCN2026051910769","'127470762869","缺少","P1","'12-30","'11961213614","82.84","","20-40美金","20-40单","高价品"
"2","Ashuka SKF C3 发动机轴承套装 Y15/125Z/RXZ/ZXR/Y110/Dynamic/EX5 HP/Dream/LC4S/5S/WAVE125 110/RFS150/RS150/GBO/SRL/Y16","Y16ZR","82.84","https://cf.shopee.com.my/file/my-11134207-7qul2-lk6lkvkheucac2","http://shopee.com.my/product/375068094/11961213614","摩托车零配件","传动系统、变速器和离合器","IVCN2026051910769","'248749909500","缺少","P1","'12-30","'11961213614","82.84","","20-40美金","20-40单","高价品"
"3","F2-MOTO 高级 PP 材质 45L 尾箱,全黑/通用型","PP 收纳盒 X 碳纤维 45L","82.76","https://cf.shopee.com.my/file/sg-11134201-81zvn-mmzppk58imtd04","http://shopee.com.my/product/875976878/41907717513","摩托车配件","盒子和箱子","IVCN2026051917349","'320773972549","缺少","P1","'12-30","'41907717513","82.76","","20-40美金","20-40单","高价品"
"2","SOARFLY 四合一多功能汽车应急启动器,10000mAh 大容量移动电源,带应急启动功能、便携式气泵和轮胎充气泵,适用于汽车电池。","2026 智能夹（黑色）","76.04","https://cf.shopee.ph/file/cn-11134207-820l4-mkc50svpov0n27","http://shopee.ph/product/1058886993/40458978606","摩托车零配件","电池及配件","IVCN2026031718755","'275752379809","缺少","P1","'12-30","'40458978606","82.73","","500-1000美金","20-40单","高价品"
"2","SOARFLY 四合一多功能汽车应急启动器,10000mAh 大容量移动电源,带应急启动功能、便携式气泵和轮胎充气泵,适用于汽车电池。","智能夹（LED）","82.73","https://cf.shopee.ph/file/cn-11134207-820l4-mmzp1xyqrgub06","http://shopee.ph/product/1058886993/40458978606","摩托车零配件","电池及配件","IVCN2026031718755","'360401425531","缺少","P1","'12-30","'40458978606","82.73","","300-500美金","20-40单","高价品"
"1","变速箱 Beloh 离合器 Rxz 原装电机","变速箱 Beloh 离合器 Rxz 原装电机","82.69","https://cf.shopee.com.my/file/0d0ed388ce8b016c14fef13b33893fc1","http://shopee.com.my/product/210981613/20525874042","其他的","#VALUE!","IVCN2026051911601","'163760609189","缺少","P1","'12-30","'20525874042","82.69","","20-40美金","20-40单","高价品"
"7","TP 1108Racing 排气管,适用于 Wave110i（2014-2026）,提供原厂和 125cc 尾端式两种设计,并带有消音器插件,可用于改装降低噪音。经泰国工业标准协会 (TIS) 认证。","改装排气管（黑色尾嘴 125）,110i 2021-2026,25mm 颈部。","48.95","https://cf.shopee.co.th/file/th-11134207-81ztm-mlwrsn3xdxjcd0","http://shopee.co.th/product/178634724/28270956928","摩托车零配件","尾气和排放","IVCN202507183430","'178608996101","缺少","P1","'12-30","'28270956928","82.53","","20-40美金","20-40单","高价品"
"7","TP 1108Racing 排气管,适用于 Wave110i（2014-2026）,提供原厂和 125cc 尾端式两种设计,并带有消音器插件,可用于改装降低噪音。经泰国工业标准协会 (TIS) 认证。","改装排气管,带隔音功能,适用于 110i 2014-2020,25mm 颈部。","48.95","https://cf.shopee.co.th/file/th-11134207-81ztc-mlv5vik33eo1ee","http://shopee.co.th/product/178634724/28270956928","摩托车零配件","尾气和排放","IVCN202507183430","'390645383261","缺少","P1","'12-30","'28270956928","82.53","","20-40美金","20-40单","高价品"
"1","隔热罩,采用304不锈钢薄板制成,用于排气管隔热。以60厘米宽×100厘米长、0.5毫米厚的板材形式出售。","隔热罩,采用304不锈钢薄板制成,用于排气管隔热。以60厘米宽×100厘米长、0.5毫米厚的板材形式出售。","82.49","https://cf.shopee.co.th/file/th-11134207-7r98x-lxcnsvaqpqdrac","http://shopee.co.th/product/79879120/25080230188","摩托车零配件","尾气和排放","IVCN2026051914845","'250814723998","缺少","P1","'12-30","'25080230188","82.49","","20-40美金","20-40单","高价品"
"1","适用于 Wave 110i (2009-2026) / Wave 125i (2012-2026) 的下制动主缸,本田原厂零件编号 45250-K47-M01 / 45250-K0G-901","灰色的","82.31","https://cf.shopee.co.th/file/th-11134207-81ztj-mlvko73vbhfo79","http://shopee.co.th/product/121058918/53957254729","摩托车零配件","制动系统","IVCN2026051917985","'380646202654","缺少","P1","'12-30","'53957254729","82.31","","20-40美金","20-40单","高价品"
"1","Wave110i LED 2019-2025 前挡风玻璃 + 前挡泥板 + 上部面罩 📌红铜色套装 340（高品质）（YSW） 📌价格包含 3 件：Wave 110i 挡风玻璃、挡泥板和上部面罩。","红铜套装 340","82.17","https://cf.shopee.co.th/file/sg-11134201-7rfgj-m3yvt6ivabnn57","http://shopee.co.th/product/1407254428/28821138685","摩托车配件","挡泥板和防溅板","IVCN2026051914199","'237172055858","缺少","P1","'12-30","'28821138685","82.17","","20-40美金","20-40单","高价品"
"1","Wave110i LED 2019-2025 前挡风玻璃 + 前挡泥板 + 上部面罩,青铜色套装 487,高品质 (YSW) (📌3 件价格📌) Wave110i 前挡风玻璃。","青铜487","82.17","https://cf.shopee.co.th/file/th-11134207-7qul7-lfm3yekj2my607","http://shopee.co.th/product/166881522/21878598362","摩托车配件","挡泥板和防溅板","IVCN2026051912959","'207220700780","缺少","P1","'12-30","'21878598362","82.17","","20-40美金","20-40单","高价品"
"1","适用于 2023-2025 款 WAVE 125i 的 FAST99 燃油泵（全新） - AAA 品质,6 个月保修,SE 品牌。燃油泵……","适用于 2023-2025 款 WAVE 125i 的 FAST99 燃油泵（全新） - AAA 品质,6 个月保修,SE 品牌。燃油泵……","82.13","https://cf.shopee.co.th/file/sg-11134201-820o8-mnb7bv9wyayw6e","http://shopee.co.th/product/842706859/18174845335","摩托车零配件","燃油系统","IVCN202605199859","'69746363073","缺少","P1","'12-30","'18174845335","82.13","","20-40美金","20-40单","高价品"
"1","（标准声浪）28MM 排气管 LC135 4S 5S V1-V7 3IN1 ekzos exzos LC","（标准声浪）28MM 排气管 LC135 4S 5S V1-V7 3IN1 ekzos exzos LC","82.12","https://cf.shopee.com.my/file/my-11134207-7r98v-lwtjn37y333k15","http://shopee.com.my/product/66921169/9142633495","摩托车零配件","尾气和排放","IVCN202605199331","'34881108170","缺少","P1","'12-30","'9142633495","82.12","","40-60美金","20-40单","高价品"
"1","正品 NAPOLEON 后视镜,全新（1 对）。","10毫米。","82.12","https://cf.shopee.co.th/file/th-11134207-81zti-mnv8vcn8ghe06d","http://shopee.co.th/product/3768651/27135388610","摩托车配件","镜子及配件","IVCN2026051910015","'79906745341","缺少","P1","'12-30","'27135388610","82.12","","60-80美金","20-40单","高价品"
"1","100% 原装 - 雅马哈 LC135 V2-V7 双人座总成（红色/银色/金色/黑色线条）-55C-F4730-00/10 和 55D-F4730-00","银/白线","82.11","https://cf.shopee.com.my/file/my-11134207-7r98x-lnweiby8xpq5a5","http://shopee.com.my/product/50748728/25750590904","摩托车配件","座椅及座椅套","IVCN2026051910855","'128786375437","缺少","P1","'12-30","'25750590904","82.11","","20-40美金","20-40单","高价品"
"2","COD 主刹车泵 E3 14mm 通用产品 主刹车泵（左/右手）赛车 RH 14MM LC135 Y15Z","RH/黑色","41.6","https://cf.shopee.com.my/file/my-11134207-820l7-mkeqnj86wjd3d5","http://shopee.com.my/product/1591328764/57451825504","摩托车零配件","制动系统","IVCN2026051918617","'430169418220","缺少","P1","'12-30","'57451825504","82.09","","40-60美金","20-40单","高价品"
"2","COD 主刹车泵 E3 14mm 通用产品 主刹车泵（左/右手）赛车 RH 14MM LC135 Y15Z","R+L/黑色","82.09","https://cf.shopee.com.my/file/my-11134207-820l9-mkepk1vq3tvq64","http://shopee.com.my/product/1591328764/57451825504","摩托车零配件","制动系统","IVCN2026051918617","'430169418221","缺少","P1","'12-30","'57451825504","82.09","","40-60美金","20-40单","高价品"
"1","WMOTO Nexy 180 车身护板重型防撞杆发动机护板 Nexy","防撞杆","82.08","https://cf.shopee.com.my/file/my-11134207-820l6-mk26zfo8fbid83","http://shopee.com.my/product/805976076/54355566247","摩托车零配件","车身及车架","IVCN2026051918369","'410503509593","缺少","P1","'12-30","'54355566247","82.08","","20-40美金","20-40单","高价品"
"1","Wave125i 双人座椅","Wave125i 双人座椅","82.08","https://cf.shopee.ph/file/beeafa0a59202099b4f1a01918d4b38a","http://shopee.ph/product/28464615/11101961544","摩托车配件","座椅及座椅套","IVCN2026051910513","'110104233518","缺少","P1","'12-30","'11101961544","82.08","","100-300美金","20-40单","高价品"
"4","IRC IZ-Ss (IZSs) S99T 踏板车轮胎,13、14、15 英寸轮辋,无内胎,适用于摩托车（多种尺寸）*单价*","140/70-14","82.02","https://cf.shopee.co.th/file/th-11134207-7rasc-m54a5d6y59yu46","http://shopee.co.th/product/378273307/3479456679","摩托车零配件","轮胎及配件","IVCN2026021165045","'43697255066","缺少","P1","'12-30","'3479456679","82.02","","20-40美金","20-40单","高价品"
"4","IRC IZ-Ss (IZSs) S99T 踏板车轮胎,13、14、15 英寸轮辋,无内胎,适用于摩托车（多种尺寸）*单价*","120/70-12","65.89","https://cf.shopee.co.th/file/th-11134207-7rasc-m54a5d6y59yu46","http://shopee.co.th/product/378273307/3479456679","摩托车零配件","轮胎及配件","IVCN2026021165045","'134469062445","缺少","P1","'12-30","'3479456679","82.02","","20-40美金","20-40单","高价品"
"5","IRC S99T 摩托车轮胎（Megaparts Store）","100/90-12 TL 前/后","46.26","https://cf.shopee.co.th/file/th-11134207-7rasa-m40741a24n441d","http://shopee.co.th/product/769149049/29821232673","摩托车零配件","轮胎及配件","IVCN2026051913745","'227176043944","缺少","P1","'12-30","'29821232673","82.02","","20-40美金","20-40单","高价品"
"5","IRC S99T 摩托车轮胎（Megaparts Store）","110/70-12 TL 前/后","75.53","https://cf.shopee.co.th/file/th-11134207-7rasb-m40744320uf8e5","http://shopee.co.th/product/769149049/29821232673","摩托车零配件","轮胎及配件","IVCN2026051913745","'227176043946","缺少","P1","'12-30","'29821232673","82.02","","20-40美金","20-40单","高价品"
"5","IRC S99T 摩托车轮胎（Megaparts Store）","110/90-12 TL 前/后","59.88","https://cf.shopee.co.th/file/th-11134207-7rash-m4074g2sh2jb5d","http://shopee.co.th/product/769149049/29821232673","摩托车零配件","轮胎及配件","IVCN2026051913745","'227176043950","缺少","P1","'12-30","'29821232673","82.02","","20-40美金","20-40单","高价品"
"5","IRC S99T 摩托车轮胎（Megaparts Store）","120/70-14 TL 前/后","52.22","https://cf.shopee.co.th/file/th-11134207-7rash-m4074jc5pbfbad","http://shopee.co.th/product/769149049/29821232673","摩托车零配件","轮胎及配件","IVCN2026051913745","'227176043952","缺少","P1","'12-30","'29821232673","82.02","","20-40美金","20-40单","高价品"
"5","IRC S99T 摩托车轮胎（Megaparts Store）","140/70-14 TL R","82.02","https://cf.shopee.co.th/file/th-11134207-7rasj-m4074pnegr9g6e","http://shopee.co.th/product/769149049/29821232673","摩托车零配件","轮胎及配件","IVCN2026051913745","'227176043957","缺少","P1","'12-30","'29821232673","82.02","","20-40美金","20-40单","高价品"
"3","CWORKS扭力驱动总成,适用于Click/NMAX/AEROX/MIO125/M3/BEAT FI/MIO SPORTY","节拍 FI/ V1/V2","68.74","https://cf.shopee.ph/file/ph-11134207-7rasd-m7zu6ephp7oz1e","http://shopee.ph/product/132013316/27831401611","摩托车零配件","传动系统、变速器和离合器","IVCN2025112525214","'168821851250","缺少","P1","'12-30","'27831401611","82.02","","20-40美金","20-40单","高价品"
"1","适用于 PCX160/ADV160 的 RACING MONKEY RACING 扭矩驱动总成","适用于 PCX160/ADV160 的 RACING MONKEY RACING 扭矩驱动总成","81.98","https://cf.shopee.ph/file/ph-11134207-81ztd-mlipb9r1kqhb48","http://shopee.ph/product/282322300/50506888196","摩托车零配件","传动系统、变速器和离合器","IVCN2026051918583","'425615963542","缺少","P1","'12-30","'50506888196","81.98","","20-40美金","20-40单","高价品"
"1","正品 N-PRO 泰国花型化油器（28mm 喉管）","正品 N-PRO 泰国花型化油器（28mm 喉管）","81.98","https://cf.shopee.vn/file/vn-11134207-7ras8-mb279v3jw8ekf5","http://shopee.vn/product/896085951/26737635687","摩托车零配件","点火和发动机部件","IVCN2026051915337","'258524371079","缺少","P1","'12-30","'26737635687","81.98","","20-40美金","20-40单","高价品"
"1","PCX 160 (2021-2025) 后脚踏板,双色,CNC 加工,高品质底座,KINGRACING 品牌,1 对,铝制,精美阳极氧化,坚固耐用,可直接替换旧款。","黑钱","81.97","https://cf.shopee.co.th/file/th-11134207-81ztp-mlhlqn54iscj14","http://shopee.co.th/product/578276622/47756877341","摩托车配件","其他的","IVCN2026051915871","'272438697235","缺少","P1","'12-30","'47756877341","81.97","","20-40美金","20-40单","高价品"
"5","米其林无内胎轮胎（仅外胎）,尺寸为 12、13 和 14 英寸,CITY EXTRA 花纹。","130/70-12 TL（1 条轮胎）","64.23","https://cf.shopee.co.th/file/th-11134207-81zte-mgivpbfh3x8vec","http://shopee.co.th/product/79905702/22757229918","摩托车零配件","轮胎及配件","IVCN2026041051983","'235714739626","缺少","P1","'12-30","'22757229918","81.74","","20-40美金","20-40单","高价品"
"1","（碳纤维）Cardinals 赛车座椅平底 LCV8 y15 y16 Rs150 Rsx150 Lc135 v2-v7 SRL115 SRL115Fi","Y15,扁平","81.74","https://cf.shopee.com.my/file/my-11134207-7qul2-ljwntip53h225a","http://shopee.com.my/product/66921169/18591442112","摩托车配件","座椅及座椅套","IVCN2026051913171","'214475566421","缺少","P1","'12-30","'18591442112","81.74","","20-40美金","20-40单","高价品"
"1","Nibbi圆形化油器 PE 22mm / 24mm / 26mm / 28mm / 30mm - 白色","24日","81.6","https://cf.shopee.vn/file/vn-11134207-7ras8-m543chbv4tfnb9","http://shopee.vn/product/201593447/5288572700","摩托车零配件","燃油系统","IVCN2026051910517","'110173884459","缺少","P1","'12-30","'5288572700","81.6","","40-60美金","20-40单","高价品"
"1","Redleo PWK 28mm 平头赛车化油器 - 透明浮子室","Redleo PWK 28mm 平头赛车化油器 - 透明浮子室","81.48","https://cf.shopee.vn/file/vn-11134207-81ztc-mmd78b0hgbns8c","http://shopee.vn/product/1752067584/57458010499","摩托车零配件","燃油系统","IVCN2026051917085","'315712274122","缺少","P1","'12-30","'57458010499","81.48","","20-40美金","20-40单","高价品"
"1","后轮主刹车泵 RCB S1 GRT 14mm 通用刹车泵 Belakang Y15 Y16 RS150 RSX LC135","钛灰色","81.47","https://cf.shopee.ph/file/my-11134207-7rasd-mc810rehm1uw3f","http://shopee.ph/product/727863165/18373952799","摩托车零配件","制动系统","IVCN2026041042539","'117957065963","缺少","P1","'12-30","'18373952799","81.47","","20-40美金","20-40单","高价品"
"1","KAMUII Brembo刹车油壶盖","蓝色的","81.43","https://cf.shopee.co.th/file/th-11134207-7rasl-m9k0owuctvmoa0","http://shopee.co.th/product/325827923/25211232527","摩托车零配件","制动系统","IVCN2026051910627","'118289410481","缺少","P1","'12-30","'25211232527","81.43","","20-40美金","20-40单","高价品"
"2","BREAMBO Kamui 刹车油壶盖,100% 原装正品,双色。","红色,赠送1个盖子。","81.43","https://cf.shopee.co.th/file/th-11134207-7r98t-lld2qhq1h3261e","http://shopee.co.th/product/142635437/23154000332","摩托车零配件","制动系统","IVCN2026021163913","'217013542551","缺少","P1","'12-30","'23154000332","81.43","","20-40美金","20-40单","高价品"
"1","进气歧管 BRT KLX 150 KLX BF Dtracker 28 30 32 34 歧管","28毫米","81.34","https://cf.shopee.ph/file/id-11134207-7r98q-lxrz147jcr9992","http://shopee.ph/product/1315436358/29656221607","摩托车零配件","其他的","IVCN2026031711713","'195265243860","缺少","P1","'12-30","'29656221607","81.34","","20-40美金","20-40单","高价品"
"1","适用于 Wave 125i 原装挡风玻璃的后脚踏板支架","1 对左右正品","81.3","https://cf.shopee.ph/file/th-11134207-81ztf-mlp4pda7ifwl74","http://shopee.ph/product/1744386803/24998004319","摩托车零配件","车身及车架","IVCN2026051918739","'435631794135","缺少","P1","'12-30","'24998004319","81.3","","60-80美金","20-40单","高价品"
"3","带牌照灯的 Aerox NVX V1 V2 V3 LTO 合法尾灯套件","AEROX V2,隐藏式信号灯","81.25","https://cf.shopee.ph/file/sg-11134201-824hs-mf68qz3lh43y32","http://shopee.ph/product/19040810/44119656184","摩托车配件","挡泥板和防溅板","IVCN2025121928761","'340786789838","缺少","P1","'12-30","'44119656184","81.29","","80-100美金","20-40单","高价品"
"3","带牌照灯的 Aerox NVX V1 V2 V3 LTO 合法尾灯套件","AEROX V1,隐藏式信号灯","81.29","https://cf.shopee.ph/file/sg-11134201-824hs-mf68qz3lh43y32","http://shopee.ph/product/19040810/44119656184","摩托车配件","挡泥板和防溅板","IVCN2025121928761","'340786789840","缺少","P1","'12-30","'44119656184","81.29","","20-40美金","20-40单","高价品"
"3","带牌照灯的 Aerox NVX V1 V2 V3 LTO 合法尾灯套件","AEROX V3 / SP,隐藏式信号灯","81.24","https://cf.shopee.ph/file/sg-11134201-824hs-mf68qz3lh43y32","http://shopee.ph/product/19040810/44119656184","摩托车配件","挡泥板和防溅板","IVCN2025121928761","'340786789842","缺少","P1","'12-30","'44119656184","81.29","","20-40美金","20-40单","高价品"
"1","PCX-150（2018-2020）后挡泥板,5D碳纤维（本田原厂零件）+ 1个AKANA贴纸。","PCX-150（2018-2020）后挡泥板,5D碳纤维（本田原厂零件）+ 1个AKANA贴纸。","81.28","https://cf.shopee.co.th/file/0bfa08b9c437919725ef54fd36308ddc","http://shopee.co.th/product/187015479/4245836881","摩托车配件","挡泥板和防溅板","IVCN202605199875","'70559379288","缺少","P1","'12-30","'4245836881","81.28","","20-40美金","20-40单","高价品"
"1","100% 原装正品 - 雅马哈 LC135 V1 座椅 -1S8-F4730-00","100% 原装正品 - 雅马哈 LC135 V1 座椅 -1S8-F4730-00","81.28","https://cf.shopee.com.my/file/my-11134207-7rasi-m8hkyjhzlplxab","http://shopee.com.my/product/50748728/3640184395","摩托车配件","座椅及座椅套","IVCN202605199115","'21117086789","缺少","P1","'12-30","'3640184395","81.28","","20-40美金","20-40单","高价品"
"1","现货供应🇹🇭 CNC车把夹 28-31.8MM,碳纤维车把,UNO直车把,适用于电动摩托车和电动自行车。","31.8毫米银项链,带褶皱颈圈","81.1","https://cf.shopee.co.th/file/th-11134207-7rasa-m60qq2yt66963a","http://shopee.co.th/product/50649565/19246243761","摩托车配件","镜子及配件","IVCN2026051912311","'188197922156","缺少","P1","'12-30","'19246243761","81.1","","40-60美金","20-40单","高价品"
"239","战车 175 小齿轮环形齿轮 13/37/ 11/37","11/37吨","81.1","https://cf.shopee.ph/file/ph-11134207-7r992-lwxa7texxblwed","http://shopee.ph/product/376002125/11801870513","摩托车零配件","传动系统、变速器和离合器","#N/A","'146575227288","缺少","P1","'12-30","'11801870513","81.1","","20-40美金","20-40单","高价品"
"2","YOKO PRO 1.40、1.20 17英寸银色轮毂（一对）","1.40 平滑边缘","80.08","https://cf.shopee.co.th/file/th-11134207-81ztf-mgrsaq8npq8b1c","http://shopee.co.th/product/167126373/13143246600","摩托车零配件","车轮、轮辋及配件","IVCN2026051910703","'121974091487","缺少","P1","'12-30","'13143246600","81.04","","20-40美金","20-40单","高价品"
"2","YOKO PRO 1.40、1.20 17英寸银色轮毂（一对）","1.40 凸起边缘","81.04","https://cf.shopee.co.th/file/th-11134207-81ztf-mgrsaq8npq8b1c","http://shopee.co.th/product/167126373/13143246600","摩托车零配件","车轮、轮辋及配件","IVCN2026051910703","'121974091488","缺少","P1","'12-30","'13143246600","81.04","","40-60美金","20-40单","高价品"
"1","适用于所有雅马哈 X-Max 车型的 Bendix 刹车片。","前后组","81.03","https://cf.shopee.co.th/file/th-11134207-81ztm-mgbzukcuuh3g58","http://shopee.co.th/product/261266408/13262646218","摩托车零配件","制动系统","IVCN2026051917297","'335021788712","缺少","P1","'12-30","'13262646218","81.03","","20-40美金","20-40单","高价品"
"3","Maxxis V6 50、60、70、80/90-17轮胎,采用凤凰人字纹胎面花纹。无内胎轮胎。","一对60+70轮胎,带2个内胎","63.9","https://cf.shopee.vn/file/vn-11134207-7r98o-lr72jwk1ds49c3","http://shopee.vn/product/990185850/25611859740","摩托车零配件","轮胎及配件","IVCN2025111483507","'186373890124","缺少","P1","'12-30","'25611859740","81","","20-40美金","20-40单","高价品"
"1","杜汉45升塑料尾箱","DUHAN X 黑色","80.96","https://cf.shopee.ph/file/ph-11134207-820l6-mnusb6ec64g106","http://shopee.ph/product/441323706/22367770560","摩托车配件","盒子和箱子","IVCN2026051916851","'305887252430","缺少","P1","'12-30","'22367770560","80.96","","40-60美金","20-40单","高价品"
"2","UMA Racing Pacers轮胎","70/90/17","71.91","https://cf.shopee.com.my/file/my-11134207-820lg-mlwvjyo4k1e030","http://shopee.com.my/product/264170775/55807298158","摩托车零配件","轮胎及配件","IVCN2026051917407","'340649627423","缺少","P1","'12-30","'55807298158","80.94","","20-40美金","20-40单","高价品"
"2","UMA Racing Pacers轮胎","80/90/17","80.94","https://cf.shopee.com.my/file/my-11134207-820lg-mlwvjyo4k1e030","http://shopee.com.my/product/264170775/55807298158","摩托车零配件","轮胎及配件","IVCN2026051917407","'340649627424","缺少","P1","'12-30","'55807298158","80.94","","20-40美金","20-40单","高价品"
"1","F11黑色投影式前大灯,紫色透镜,现成的Zipat Xmen恶魔眼变色透镜。","Bi F11 Zipat,恶魔之眼（可通过 DT APP 调节）","80.92","https://cf.shopee.vn/file/vn-11134207-7ra0g-m9hhtn44pmrrc7","http://shopee.vn/product/859396418/29386355166","摩托车零配件","灯光","IVCN2026051916647","'300006828015","缺少","P1","'12-30","'29386355166","80.92","","20-40美金","20-40单","高价品"
"1","新品！！Lambretta X300 X200 X250 包,可装下 Yeti 保温杯。带拉链口袋,可放手机。颜色漂亮,防水。1：Pocenti Scooters","黑色","80.88","https://cf.shopee.com.my/file/th-11134207-7qul7-lh7s87hvwk5009","http://shopee.com.my/product/716886383/19289148019","摩托车配件","盒子和箱子","IVCN2026051911503","'158222153205","缺少","P1","'12-30","'19289148019","80.88","","20-40美金","20-40单","高价品"
"2","HELIOS GP901 (P6240 FLASH) 轮胎单独出售,每条轮胎起价 930 泰铢。","130/70-13R 63P 26 年","80.85","https://cf.shopee.co.th/file/th-11134207-81ztm-mftwmwk5zvnxb0","http://shopee.co.th/product/82952435/42574152087","摩托车零配件","轮胎及配件","IVCN2026051915841","'271960807931","缺少","P1","'12-30","'42574152087","80.85","","20-40美金","20-40单","高价品"
"2","HELIOS GP901 (P6240 FLASH) 轮胎单独出售,每条轮胎起价 930 泰铢。","110/70-12F/R 53P 年份 26","51.15","https://cf.shopee.co.th/file/th-11134207-81ztm-mftwmwk5zvnxb0","http://shopee.co.th/product/82952435/42574152087","摩托车零配件","轮胎及配件","IVCN2026051915841","'276960802584","缺少","P1","'12-30","'42574152087","80.85","","20-40美金","20-40单","高价品"
"1","雅马哈 NVX155 V2 V3 9升 HLD 9升大油箱 9升超大油箱 原装 HLD NVX","NVX V2 9升","80.81","https://cf.shopee.com.my/file/sg-11134201-8260n-mleld72y2cxx8e","http://shopee.com.my/product/46899422/40052204348","摩托车零配件","燃油系统","IVCN2026051915563","'265180276349","缺少","P1","'12-30","'40052204348","80.81","","20-40美金","20-40单","高价品"
"1","RXZ135 拉杆 CNC PNP SIAP 螺丝铝合金后摇臂拉杆 金银色 雅马哈 RXZ RXZ135","银","80.79","https://cf.shopee.com.my/file/cn-11134207-820l4-mmu022tqu4g065","http://shopee.com.my/product/897085841/44558496616","摩托车零配件","车身及车架","IVCN2026051918129","'390751974744","缺少","P1","'12-30","'44558496616","80.79","","20-40美金","20-40单","高价品"
"3","Grand Filano 子午线轮胎,12 英寸轮辋,HR79 花纹。","前轮胎 110/70-12 TL","21.35","https://cf.shopee.co.th/file/sg-11134201-7rcer-m684gpc1v4qoc3","http://shopee.co.th/product/79905702/28925126083","摩托车零配件","轮胎及配件","IVCN202510146817","'218190936508","缺少","P1","'12-30","'28925126083","80.75","","20-40美金","20-40单","高价品"
